Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005874~microtubule	8	2.5316455696202533	0.060470938557178104	MAP1LC3B, TPPP3, STIM1, KIF3B, KIF26A, CLASP1, SKA1, SNTB2	306	340	29926	2.301114955786236	0.9999999999949468	0.5663216127440774	0.5554569295259657
GOTERM_BP_DIRECT	GO:0032259~methylation	5	1.5822784810126582	0.06120216934072021	TPMT, SMYD5, BMT2, SETMAR, GNMT	304	145	29775	3.3773820326678763	1.0	1.0	0.9982598607888631
GOTERM_CC_DIRECT	GO:0031902~late endosome membrane	5	1.5822784810126582	0.06147697624887004	LAPTM4A, ABCB6, LAMTOR2, MTMR4, VPS36	306	145	29926	3.3723236421005183	0.9999999999967675	0.5663216127440774	0.5554569295259657
GOTERM_BP_DIRECT	GO:0140588~chromatin looping	5	1.5822784810126582	0.06244595370068675	RAD50, MCM9, DDX51, CTCF, DDX50	304	146	29775	3.3542492790194665	1.0	1.0	0.9982598607888631
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	6	1.89873417721519	0.06247192850414284	BLOC1S6, TES, EVL, TNS4, TNS3, CLASP1	306	208	29926	2.821078431372549	0.999999999997923	0.5663216127440774	0.5554569295259657
GOTERM_MF_DIRECT	GO:0000981~DNA-binding transcription factor activity, RNA polymerase II-specific	18	5.69620253164557	0.06336381545370355	ZFP810, ZFP952, AU041133, JUN, LEF1, ZFP81, BMYC, ZFP617, ZFP507, KLF15, SMAD5, PBX1, ZFP74, NFIC, HSF1, ZFP420, ZFP661, GZF1	297	1113	29110	1.5851234719159246	0.9999999999999999	0.7202784736267934	0.7008813872634148
UP_KW_PTM	KW-0832~Ubl conjugation	53	16.77215189873418	0.06375849191446406	ZFP687, FLT1, CTCF, CCAR2, CDC20, MAP1LC3B, CCND2, CDH1, ZMYM5, STBD1, MLST8, HMGN2, SYK, MSL2, SCRIB, TERF1, DDX50, TERF2, PHF20L1, RNF144A, TRAF4, FANCD2, SUB1, TET3, SDE2, GEMIN5, RHNO1, SMARCD2, RPN2, BRAT1, LEF1, MTMR4, RAD51AP1, NRAS, POLR2A, UBN2, HSF1, NRIP1, SAP18, PAK3, RREB1, FZD1, JUN, ZFP638, FZD7, DSTN, PER3, RFXAP, SNAI1, SNRNP48, TRIM37, YPEL3, FGFR1	231	2432	13166	1.2420931590339486	0.7139974271493821	0.27177071952121423	0.24459364756909283
UP_SEQ_FEATURE	REGION:Interaction with DNA	3	0.949367088607595	0.06399005671622424	RAD51AP1, TET3, MEIS2	297	31	22194	7.231671554252201	1.0	1.0	1.0
UP_SEQ_FEATURE	TRANSMEM:Helical; Anchor for type IV membrane protein	4	1.2658227848101267	0.06697713477503144	STX5A, STX3, VAMP4, SYNE4	297	70	22194	4.27012987012987	1.0	1.0	1.0
UP_KW_PTM	KW-0636~Prenylation	7	2.2151898734177213	0.06794267988030356	RAP1B, NRAS, UCHL1, RAB6A, RHEBL1, GNG13, RAB8B	231	164	13166	2.432742054693274	0.7373304010538835	0.27177071952121423	0.24459364756909283
GOTERM_MF_DIRECT	GO:0001965~G-protein alpha-subunit binding	3	0.949367088607595	0.06801432318865154	CCDC88A, PPP5C, SASH1	297	42	29110	7.000962000962002	1.0	0.7458416864487135	0.7257561832229852
GOTERM_MF_DIRECT	GO:0003676~nucleic acid binding	7	2.2151898734177213	0.06829071096747646	CNOT7, ZFP638, CNBP, ERI2, LEF1, GPATCH2, TFIP11	297	281	29110	2.4416166409048974	1.0	0.7458416864487135	0.7257561832229852
GOTERM_BP_DIRECT	GO:0043114~regulation of vascular permeability	2	0.6329113924050633	0.06910281077772495	ABR, PLVAP	304	7	29775	27.98402255639098	1.0	1.0	0.9982598607888631
