Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0043209~myelin sheath	18	1.9607843137254901	6.114395965991942E-5	CAR2, GSTM1, GDI1, HSPA5, ENO1B, ATP1B1, NDRG1, ACTG1, UCHL1, UBB, UBC, FSCN1, BCL2, CKB, CALM1, YWHAG, GPM6B, PLEC	895	190	29926	3.1677036165833576	0.038671464167244096	0.0039437853980648025	0.00380926868681298
GOTERM_BP_DIRECT	GO:0008637~apoptotic mitochondrial changes	7	0.7625272331154684	7.444011980758063E-5	CD24A, PPIF, BCL2, RNF7, GCLM, BID, DAP3	887	25	29775	9.399098083427283	0.24549388648596537	0.03521017666898564	0.034884501144827475
GOTERM_CC_DIRECT	GO:0016324~apical plasma membrane	32	3.485838779956427	8.145456037293124E-5	SLC46A1, BMPR2, SLC44A4, SLC2A1, SLC3A2, LRP2, SLC7A1, SLC9A1, OTOA, GM2A, SLC22A18, PDPN, STX3, CTSB, CAR4, PRKCI, CASR, ABCC1, ABCC6, ATP1B1, PDZK1IP1, SLC39A14, CD55B, BST2, CLDN4, TMEM114, GNAS, SLC22A7, CD44, TJP3, ABCG2, PLEC	895	489	29926	2.1880979310187247	0.05118394669542903	0.004776199221867332	0.004613290101121469
GOTERM_BP_DIRECT	GO:0003143~embryonic heart tube morphogenesis	5	0.5446623093681917	1.416914596907878E-4	ACVR1, MESP1, HES1, TEAD1, TEAD2	887	10	29775	16.784103720405863	0.4150321975074033	0.05957338705221567	0.059022364708973714
GOTERM_CC_DIRECT	GO:0005741~mitochondrial outer membrane	18	1.9607843137254901	1.648322380438615E-4	CYB5B, EPHA4, MOAP1, SMCP, NLRX1, RSAD2, VPS13C, VPS13A, CPT1B, RAB32, ZNFX1, UBB, UBC, BCL2, SPATA18, BID, SNCA, PLEC	895	206	29926	2.921668384227369	0.10086811800273188	0.008859732794857555	0.008557540358443808
GOTERM_MF_DIRECT	GO:0003700~DNA-binding transcription factor activity	35	3.812636165577342	2.2447467135141698E-4	MESP1, ONECUT2, FOXI3, FOXO4, CTCF, HOXC13, NR3C1, HOXD10, ASCL2, SOX2, T, OTX2, E2F5, TEAD1, TEAD2, JUND, BCL11A, SNAI3, EBF1, FOXN3, KLF4, POU3F1, POU3F2, ETV4, TBX3, NFKB1, FOSL2, MYCL, ZEB2, TFCP2, MYCN, KLF9, IRF2, TCF3, FOXA2	875	586	29110	1.9870307167235495	0.22074687890120448	0.01918395075934033	0.018924941523165616
GOTERM_CC_DIRECT	GO:0005730~nucleolus	49	5.337690631808279	2.541302858362673E-4	TOP2A, PHF2, LRRC34, ITGB4, SUV39H1, GPATCH4, CTCF, IFI35, SMG6, RPS4X, PPP1CB, HABP4, TRIM27, RPS11, AXIN1, KCTD1, TERF1, ETV4, CBFA2T3, DNAJC2, ZEB2, ARL4A, MYCN, DGKQ, HAND1, CCNO, NIP7, GNAI1, MYG1, RNF213, TCOF1, PNMA1, RPL13, RPS2, PCDH1, E2F5, EXOSC1, PLK4, ZRSR2, CENPW, TRIM41, WDR12, NPM3, PPP1CA, MYBBP1A, CDK4, TTC3, RGS12, SPC24	895	940	29926	1.7429858552240578	0.15120269406280173	0.01260877187418403	0.012178705236614962
KEGG_PATHWAY	mmu04550:Signaling pathways regulating pluripotency of stem cells	16	1.7429193899782136	2.705770253692855E-4	ACVR1, LEFTY1, BMPR2, AXIN1, PIK3CD, KLF4, TBX3, SOX2, MEIS1, ID2, HAND1, ID3, TCF3, OTX1, IL6ST, BMPR1A	373	140	9789	2.9993106089620833	0.08096535158556961	0.05092042992518925	0.05059401691284829
GOTERM_BP_DIRECT	GO:0071773~cellular response to BMP stimulus	7	0.7625272331154684	3.1895441737352196E-4	ACVR1, EXT1, DLX1, COL2A1, BMPR2, NOG, BMPR1A	887	32	29775	7.343045377677564	0.7009414881922998	0.11136162153265536	0.1103315853926863
GOTERM_BP_DIRECT	GO:0008543~fibroblast growth factor receptor signaling pathway	12	1.3071895424836601	3.237256439902772E-4	FGF5, KLB, EXT1, EPHA4, FGF8, FLT1, NOG, PRDM14, FRS2, FGF23, RHOD, FGF21	887	106	29775	3.8001744272617044	0.7062940428969551	0.11136162153265536	0.1103315853926863
KEGG_PATHWAY	mmu04390:Hippo signaling pathway	17	1.8518518518518516	3.264130123409567E-4	YWHAE, PRKCI, BMPR2, BMP8A, AXIN1, CSNK1E, PPP1CA, ACTG1, SOX2, PPP1CB, CCND3, CDH1, ID2, TEAD1, YWHAG, TEAD2, BMPR1A	373	158	9789	2.8237180574880374	0.09684174350540087	0.05092042992518925	0.05059401691284829
GOTERM_CC_DIRECT	GO:0005576~extracellular region	70	7.625272331154684	3.545835200204217E-4	LRCOL1, WFDC1, PCSK6, FGF5, GLIPR1, LGALS1, FGF8, BMPER, MDK, SPRR2A3, ADAMTS1, PEBP4, EMILIN1, TGM4, GM128, ENPP5, TSHB, CTSB, EGFL7, LEFTY1, SPINK2, IGFBP4, IL1R1, ENTPD5, ABCC6, NOG, APOA2, NME5, TGFBR3, CLPS, NME7, ZP1, B4GALT4, CD44, LTF, CALCA, CEMIP, GRP, SDC4, LAMA1, PRCD, TEX101, TULP2, FBLN2, CST6, COCH, OC90, FSTL3, ENHO, NTF5, OTOA, FRZB, MGAT5, SPOCK1, THEM6, APOE, SLIT2, SNCA, GABBR1, GSTM1, HSPA5, RNLS, BMP8A, CCK, PRSS35, RNASE12, NYX, CD2, APOC2, GNAS	895	1515	29926	1.5449379574828992	0.2044701654471761	0.01633616931522657	0.015778966640908765
