,X_draw_graph_fa-0,X_draw_graph_fa-1
cell_223,-4475.873987683102,9016.331188209144
cell_1696,857.2387169704701,12792.553459943929
cell_336,1197.6034913188425,5697.662045033394
cell_250,-5707.306192280681,11618.845361290436
cell_120,-5005.824209528378,10108.048164439057
cell_1595,-1974.3972658012021,-36308.07712614474
cell_2175,2486.672134997297,9409.326711623382
cell_1992,-2757.958520333429,-30195.38645596774
cell_2195,557.687317309757,14638.195498112213
cell_2173,1471.2142556852493,14484.465717466084
cell_2331,1490.6411635661423,12754.119069571962
cell_1795,4992.447951577565,6388.180996036915
cell_1477,-237.29761286546778,13795.556711780519
cell_145,-5571.9920283201045,10686.00475436006
cell_33,1125.207794751994,5929.620404726219
cell_26,-3301.5158360614178,9420.18384682021
cell_2402,1686.7788483897582,10567.28271678553
cell_1844,101.65565380682506,12463.551741153125
cell_2452,1237.338492047711,10047.621050713637
cell_1849,2524.719676376801,12273.511746686827
cell_1540,4614.889453187471,6151.217615625085
cell_47,2115.073169005506,6403.1735612857765
cell_302,-2745.467179162475,11305.522700524123
cell_2182,1471.1678841152125,13288.26559449567
cell_2152,2850.6128452088547,8538.369034202655
cell_2301,1807.3904697564815,9903.873560220996
cell_2021,-380.0644391920809,12420.418775096126
cell_1662,-784.4006263895578,-39190.47705475109
cell_2615,74.53300324426553,14090.053810526935
cell_2462,1637.5664202726884,13572.183201661093
cell_2265,1901.2461922721754,10758.387055193334
cell_2236,1456.657579425995,13561.657782508595
cell_2251,1545.0801946701724,13945.330176087631
cell_2642,957.7290727521022,13154.232667259395
cell_238,-5643.805610783604,11715.371968261012
cell_1672,1827.9362062586076,12448.667992257988
cell_2052,761.5619189884299,12105.861635566227
cell_2120,507.3856341054851,12936.142590802232
cell_1945,1379.4663863693816,11682.67111618952
cell_2318,-3567.652107488318,-27761.949997263266
cell_1649,182.07823850958417,12700.188977346554
cell_1650,1610.1627967296474,15287.086807679678
cell_2121,348.9130160912973,9170.736598366731
cell_2534,1137.578107481497,14704.641187770509
cell_1464,2166.577375905487,13025.677902780126
cell_2650,1409.2481899487836,13555.23646225491
cell_2351,2804.147676897407,8816.718799630504
cell_1791,-2685.3311699979163,-30326.543826703015
cell_2296,2732.016397943196,13544.467246418246
cell_181,-5523.207718565781,10847.11129086515
cell_2366,3794.9698211710233,7631.640336586647
cell_2135,1563.241373237938,13144.669058967516
cell_2117,961.5322666770513,12766.858181224134
